Hash,Message,Hashes of parents,Is it merge,Modified files list
f571b19d8a5fd3a19fdf679421fd55a8edbf5295,"sqlerrors() decorator catching and returning useful errors

Closes #8",de04d7a854d71003ffcf98028eab976a936c2dba,False,app.py
6a0c5de6154893eb4269dc7b1f160726ec6395f2,"ensure_build_metadata() function for metadata

This will be run at compile time - the goal is to generate a build-
metadata.json file with a bunch of useful facts about the databases that could
be expensive to generate at run-time.

Example metadata:

    {
        ""flights"": {
        ""file"": ""flights.db"",
        ""tables"": {
            ""airlines"": 6048,
            ""airports"": 8107,
            ""routes"": 67663
        },
        ""hash"": ""07d1283e07786b1235bb7041ea445ae103d1571565580a29eab0203c555725fd""
    }

So far we have a sha256 hash of the database file itself, plus a row count for
each table.

Fixes #11",f571b19d8a5fd3a19fdf679421fd55a8edbf5295,False,.gitignore;app.py;templates/index.html
b2372605d63248f422b6e67cb5c392236a3aa612,"Implemented multi-db support plus initial URL structure

Refs #24

Fixes #15",6a0c5de6154893eb4269dc7b1f160726ec6395f2,False,.gitignore;app.py;templates/database.html;templates/index.html;templates/table.html
12f7e1dc5624d14f644abead18bd90b420b6d97e,"Hashed URLs now have far-future cache expiry

Since the URL now includes a hash of the database, we can return a Cache-
Control: max-age=31536000 header for every response.

The exception is our 302 redirects. These we now serve with a Link: header
that tells any HTTP/2 server-push aware fronting proxies (such as Cloudfront)
to push the target of the redirect.

Closes #4",9d219140694551453bfa528e0624919eb065f9d6,False,app.py
b20d7119e4f6506cdb9d5d11322e28130823adfd,Implemented template inheritance and brought back errors,0fa177269767e5e55c863382333fde627d2b7074,False,app.py;templates/base.html;templates/database.html;templates/index.html;templates/table.html
f643f7aee1b3d29df82b93a6560887a35b7a2f13,"base64 encode bytestrings from DB in JSON

Fixes #29",b46e370ee6126aa2fa85cf789a31da38aed98496,False,app.py;test_helpers.py
02b1814fcfdc61b1b69b5955f2b60252ff10cde9,"Redirects now preserve query string

Fixes #28",5f806880c9766daf09fc9535171637ebb8224cab,False,app.py
4c7379a898df426af0c31159e5cb06d672189301,"Don't crash on weird character encodings

Expecting SQLite columns to all be valid utf8 doesn't work, because we are
deailing with all kinds of databases. Instead, we now use the 'replace'
encoding mode to replace any non-UTF8 characters with a [X] character.",c371f06fdea413cfb00aa8f81b7a5535a7ecdbc4,False,app.py
2c625e31ed018f929223918240603bf2a80e665c,"Fixed bug on Row page with tables containing spaces

We were attempting to run this SQL:

    select * from ""Order%20Details"" where ...

On this page:

    http://0.0.0.0:8877/northwind-40d049b/Order%20Details/10250,41",1592fd0419f374de201926d3ba67fbf1522eed13,False,datasite/app.py
186c513a61a091b9f83d788e25b08f41a84ed9a3,"Support parameterized SQL and block potentially harmful queries

You can now call arbitrary SQL like this:

    /flights?sql=select%20*%20from%20airports%20where%20country%20like%20:c&c=iceland

Unescaped, those querystring params look like this:

    sql = select * from airports where country like :c
    c = iceland

So SQL can be constructed with named parameters embedded in it, which will
then be read from the querystring and correctly escaped.

This means we can aggressively filter the SQL parameter for potentially
dangerous syntax. For the moment we enforce that it starts with a SELECT
statement and we ban the sequence ""pragma"" from it entirely.

If you need to use pragma in a query, you can use the new named parameter
mechanism.

Fixes #39",31b21f5c5e15fc3acab7fabb170c1da71dc3c98c,False,datasite/app.py;test_helpers.py
9e9e9613907b6a2a8a051fdda93c0d26344ee110,Fixed error in RowView,25c241fa5a0f8868e3c1bc5be4f5888caa47d864,False,immutabase/app.py
abb591d83264bbf11a5eb9daf03011d051e8f833,"Added --reload argument to 'immutabase serve' command

Uses hupper to restart the server when the code changes. Useful for development.

Depends on https://pypi.python.org/pypi/hupper",8af7bc100c681975894f49f4ffd6d26a06e93f60,False,immutabase/cli.py;setup.py
